,,,,,,,,,Can't think of a better way to do this...,,
Amber,Extremely Rich,Robust,Brodia-Style,Cheese Wedge,Meat Dango in Cream Sauce,Crisp Bread,Crumble Cake,Baked Potato,"Creamy Fish Chowder, Meat Dango in Cream Sauce, Crisp Bread, Sour Cream Congee, Crêpe Pancakes, Tree Cake, Cheese Wedge, Oatmeal, Baked Potato, Nut Compote, Traveler's Egg, Chicken Tomato Curry, Crumble Cake, Meat Pie, Bean and Veggie Consommé, Potato Soup, Cream Croquette, Potato Pancakes, Steamed Dango, Apple and Cheese Toasties, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Omelet, Deep-Dish Crêpe Pizza, Steak Fries, Nut Rice Pudding, Dome Bread, Meatballs and Beans, Tiramisu, Berry Sauce Panna Cotta, Crème Brûlée, Soft Candies, Risotto, Rice Croquettes, Meat-Filled Potato Roll, Potted Casserole, Mushy Peas, Sandwich Cake, Mashed Potato Stew, Salmon Potato Gratin, Jam Thumbprint Cookies, Cinnamon Roll, Open-Faced Sandwich, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Soda Bread, Miso Soup, Croissant, Mutton Stew, Very Veggie Stew, Cod Dip, Hot Crêpe, Berry Custard Tart, Apple Beignets, Chocolate Orange, Veggie Sticks","Braised Lamb Shank, Marinated Salmon, Haggis, Minced-Meat Dumplings, White Sausage, Salted-Meat Stew, Deep-Fried Carp, Seafood Medley with Garlic, Acqua Pazza, Blood Sausage, Clover Salad, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Jade,"Light, Refreshing",Well-Balanced,Bittersweet,Crêpe Pancakes,Nut Compote,Tree Cake,Oatmeal,Traveler's Egg,"Crisp Bread, Sour Cream Congee, Crêpe Pancakes, Tree Cake, Oatmeal, Baked Potato, Nut Compote, Traveler's Egg, Meat Pie, Potato Soup, Cream Croquette, Apple Pie, Potato Pancakes, Steamed Dango, Caramel Nut Cake, Jelly Doughnuts, Emperor's Mess, Deep-Dish Crêpe Pizza, Steak Fries, Nut Milk Pie, Dome Bread, Tiramisu, Crème Brûlée, Churros, Rosetta Bread, Meat-Filled Potato Roll, Potted Casserole, Sandwich Cake, Mashed Potato Stew, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Cinnamon Roll, Open-Faced Sandwich, Puffy Pancakes, Uiro, Peasant Bread, Croissant, Mutton Stew, Very Veggie Stew, Cod Dip, Hot Crêpe, Berry Custard Tart, Veggie Sticks","Fruit Pie, Meat Dango in Cream Sauce, Apple and Cheese Toasties, Berry Sauce Panna Cotta, Sautéed Apples with Bacon, Berry Jelly, Anmitsu, Peach Sorbet, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies",
Alcryst,Brodia-Style,Bittersweet,Delicious,Cod Boil,Marinated Herring,Marinated Salmon,Sour Cream Congee,Meat Pie,"Mutton and Cabbage Stew, Braised Beef in Grape Sauce, Cod Boil, Marinated Salmon, Sour Cream Congee, Fish Dango, Haggis, Marinated Herring, Meat Pie, Onion Soup, Bean and Veggie Consommé, Minced-Meat Dumplings, Salted-Meat Stew, Smoked Freshwater Eel, Pickle Herring Rolls, Deep-Fried Carp, Pickled Cabbage, Potato Pancakes, Onion Quiche, Deep-Dish Crêpe Pizza, Steak Fries, Seafood Paella, Meatballs and Beans, Seafood Medley with Garlic, Fried Sardines, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Acqua Pazza, Potted Casserole, Roast Salmon, Mashed Potato Stew, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Cabbage-and-Nut Salad, Open-Faced Sandwich, Sashimi Moriawase, Mutton Stew, Very Veggie Stew, Cod Dip, Veggie Sticks","Meat Dango in Cream Sauce, Crêpe Pancakes, Cheese Wedge, Oatmeal, Nut Compote, Chicken Tomato Curry, Crumble Cake, Cream Croquette, Steamed Dango, Peach Cake, Tiramisu, Berry Sauce Panna Cotta, Crème Brûlée, Risotto, Rice Croquettes, Jam Thumbprint Cookies, Cinnamon Roll, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Berry Custard Tart, Chocolate Orange, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Lapis,Audacious,Kind of Odd,Brodia-Style,Chicken Tomato Curry,Baked Potato,Cheese Wedge,Crumble Cake,Marinated Herring,"Fruit Pie, Marinated Salmon, Crêpe Pancakes, Jam Cake, Cheese Wedge, Baked Potato, Nut Compote, Chicken Tomato Curry, Haggis, Crumble Cake, Marinated Herring, Meat Pie, Minced-Meat Dumplings, Potato Soup, White Sausage, Salted-Meat Stew, Deep-Fried Carp, Apple Pie, Potato Pancakes, Apple and Cheese Toasties, Caramel Nut Cake, Omelet, Deep-Dish Crêpe Pizza, Steak Fries, Nut Milk Pie, Nut Rice Pudding, Dome Bread, Seafood Paella, Tiramisu, Berry Sauce Panna Cotta, Seafood Medley with Garlic, Crème Brûlée, Soft Candies, Classic Pizza, Acqua Pazza, Salt Pork, Meat-Filled Potato Roll, Potted Casserole, Mashed Potato Stew, Salmon Potato Gratin, Clover Salad, Jam Thumbprint Cookies, Cinnamon Roll, Cabbage-and-Nut Salad, Apple Pudding Pie, Puffy Pancakes, Uiro, Anmitsu, Rice with Egg, Mutton Stew, Very Veggie Stew, Cod Dip, Hot Crêpe, Berry Custard Tart, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade, Veggie Sticks","Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Citrinne,Sweet,Fresh,Brodia-Style,Jam Cake,Fish Dango,Fruit Pie,Tree Cake,Nut Compote,"Fruit Pie, Cod Boil, Creamy Fish Chowder, Jam Cake, Tree Cake, Fish Dango, Nut Compote, Crumble Cake, Marinated Herring, Smoked Freshwater Eel, Pickle Herring Rolls, Deep-Fried Carp, Apple Pie, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Deep-Dish Crêpe Pizza, Nut Milk Pie, Nut Rice Pudding, Seafood Paella, Tiramisu, Berry Sauce Panna Cotta, Seafood Medley with Garlic, Fried Sardines, Crème Brûlée, Churros, Soft Candies, Acqua Pazza, Potted Casserole, Sandwich Cake, Roast Salmon, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Cinnamon Roll, Open-Faced Sandwich, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Soda Bread, Sashimi Moriawase, Uiro, Anmitsu, Cod Dip, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Braised Beef in Grape Sauce, Meat Dango in Cream Sauce, Traveler's Egg, Chicken Tomato Curry, Meat Pie, Minced-Meat Dumplings, White Sausage, Salted-Meat Stew, Onion Quiche, Apple and Cheese Toasties, Prosciutto, Meatballs and Beans, Veal Rolls, Salt Pork, Blood Sausage, Meat-Filled Potato Roll, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Ivy,Your Favorite,Sagacious,Not-Quite-Right,Apple Pudding Pie,Sautéed Apples with Bacon,Jam Thumbprint Cookies,Potted Casserole,Salmon Potato Gratin,"Mutton and Cabbage Stew, Fruit Pie, Braised Beef in Grape Sauce, Meat Dango in Cream Sauce, Sour Cream Congee, Jam Cake, Baked Potato, Nut Compote, Haggis, Crumble Cake, Meat Pie, Onion Soup, Bean and Veggie Consommé, Minced-Meat Dumplings, Potato Soup, White Sausage, Deep-Fried Carp, Apple Pie, Potato Pancakes, Onion Quiche, Apple and Cheese Toasties, Peach Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Omelet, Deep-Dish Crêpe Pizza, Steak Fries, Nut Milk Pie, Nut Rice Pudding, Dome Bread, Chilled Vegetable Soup, Seafood Paella, Meatballs and Beans, Berry Sauce Panna Cotta, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Soft Candies, Classic Pizza, Meat-Filled Potato Roll, Potted Casserole, Mashed Potato Stew, Salmon Potato Gratin, Clover Salad, Jam Thumbprint Cookies, Cinnamon Roll, Cabbage-and-Nut Salad, Apple Pudding Pie, Sautéed Apples with Bacon, Berry Jelly, Soda Bread, Anmitsu, Mutton Stew, Very Veggie Stew, Cod Dip, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Marinated Herring, Pickle Herring Rolls, Pickled Cabbage, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Zelkov,Delicious,Trendy,Whimsical,Meat-Filled Potato Roll,Mashed Potato Stew,Salmon Potato Gratin,Soda Bread,Blood Sausage,"Crisp Bread, Baked Potato, Meat Pie, Potato Soup, Potato Pancakes, Steamed Dango, Jelly Doughnuts, Deep-Dish Crêpe Pizza, Steak Fries, Dome Bread, Chilled Vegetable Soup, Churros, Classic Pizza, Rosetta Bread, Blood Sausage, Meat-Filled Potato Roll, Potted Casserole, Mashed Potato Stew, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Cinnamon Roll, Puffy Pancakes, Soda Bread, Peasant Bread, Croissant, Cod Dip, Veggie Sticks","Mutton and Cabbage Stew, Braised Beef in Grape Sauce, Cod Boil, Chicken Tomato Curry, Haggis, Onion Soup, Bean and Veggie Consommé, Salted-Meat Stew, Meatballs and Beans, Mutton Stew, Very Veggie Stew, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Chicken Tom Yum Soup, Chili-Cheese Stew",
Kagetsu,Rather Tough,"Light, Refreshing",Elusia-Style,Rice with Egg,Anmitsu,Uiro,Miso Soup,Sashimi Moriawase,"Cod Boil, Creamy Fish Chowder, Marinated Salmon, Fish Dango, Marinated Herring, Bean and Veggie Consommé, Smoked Freshwater Eel, Pickle Herring Rolls, Deep-Fried Carp, Nut Rice Pudding, Seafood Paella, Meatballs and Beans, Seafood Medley with Garlic, Fried Sardines, Risotto, Rice Croquettes, Acqua Pazza, Potted Casserole, Mushy Peas, Sandwich Cake, Roast Salmon, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Open-Faced Sandwich, Sashimi Moriawase, Miso Soup, Uiro, Anmitsu, Rice with Egg, Cod Dip","Crisp Bread, Sour Cream Congee, Oatmeal, Rosetta Bread, Veggie Sticks, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Hortensia,Well-Balanced,Lackluster,Elusia-Style,Berry Jelly,Jam Thumbprint Cookies,Cinnamon Roll,Apple Pudding Pie,Sautéed Apples with Bacon,"Fruit Pie, Meat Dango in Cream Sauce, Jam Cake, Nut Compote, Crumble Cake, Apple Pie, Apple and Cheese Toasties, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Nut Milk Pie, Nut Rice Pudding, Dome Bread, Tiramisu, Berry Sauce Panna Cotta, Crème Brûlée, Churros, Soft Candies, Jam Thumbprint Cookies, Cinnamon Roll, Apple Pudding Pie, Puffy Pancakes, Sautéed Apples with Bacon, Berry Jelly, Soda Bread, Anmitsu, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Braised Beef in Grape Sauce, Marinated Salmon, Baked Potato, Haggis, Marinated Herring, Meat Pie, Onion Soup, Bean and Veggie Consommé, Minced-Meat Dumplings, Salted-Meat Stew, Pickle Herring Rolls, Deep-Fried Carp, Pickled Cabbage, Onion Quiche, Deep-Dish Crêpe Pizza, Seafood Paella, Meatballs and Beans, Seafood Medley with Garlic, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Classic Pizza, Acqua Pazza, Salt Pork, Meat-Filled Potato Roll, Potted Casserole, Mashed Potato Stew, Salmon Potato Gratin, Cabbage-and-Nut Salad, Mutton Stew, Very Veggie Stew, Cod Dip, Veggie Sticks, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Rosado,Dainty,Whimsical,Elusia-Style,Sandwich Cake,Mushy Peas,Puffy Pancakes,Fish-and-Bacon Pocket Bun,Open-Faced Sandwich,"Crispy Roasted Pork Belly, Braised Lamb Shank, Fruit Pie, Braised Beef in Grape Sauce, Cod Boil, Creamy Fish Chowder, Meat Dango in Cream Sauce, Jam Cake, Fish Dango, Nut Compote, Traveler's Egg, Chicken Tomato Curry, Crumble Cake, Salted-Meat Stew, Smoked Freshwater Eel, Apple Pie, Apple and Cheese Toasties, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Nut Milk Pie, Nut Rice Pudding, Prosciutto, Kebabs, Tiramisu, Berry Sauce Panna Cotta, Fried Sardines, Crème Brûlée, Churros, Soft Candies, Veal Rolls, Blood Sausage, Mushy Peas, Sandwich Cake, Roast Salmon, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Cinnamon Roll, Open-Faced Sandwich, Apple Pudding Pie, Puffy Pancakes, Sautéed Apples with Bacon, Berry Jelly, Soda Bread, Sashimi Moriawase, Anmitsu, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Marinated Salmon, Sour Cream Congee, Baked Potato, Haggis, Meat Pie, Onion Soup, Minced-Meat Dumplings, Pickle Herring Rolls, Deep-Fried Carp, Pickled Cabbage, Deep-Dish Crêpe Pizza, Seafood Paella, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Classic Pizza, Salt Pork, Potted Casserole, Mashed Potato Stew, Clover Salad, Cabbage-and-Nut Salad, Mutton Stew, Very Veggie Stew, Veggie Sticks, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Goldmary,Decadent,Mouthwatering,Mild,Roast Salmon,Berry Jelly,Mashed Potato Stew,Cabbage-and-Nut Salad,Meat-Filled Potato Roll,"Fruit Pie, Braised Beef in Grape Sauce, Cod Boil, Creamy Fish Chowder, Meat Dango in Cream Sauce, Marinated Salmon, Sour Cream Congee, Jam Cake, Cheese Wedge, Oatmeal, Baked Potato, Nut Compote, Chicken Tomato Curry, Crumble Cake, Marinated Herring, Meat Pie, Potato Soup, Smoked Freshwater Eel, Pickle Herring Rolls, Apple Pie, Steamed Dango, Apple and Cheese Toasties, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Omelet, Deep-Dish Crêpe Pizza, Steak Fries, Nut Milk Pie, Nut Rice Pudding, Dome Bread, Chilled Vegetable Soup, Tiramisu, Berry Sauce Panna Cotta, Crème Brûlée, Churros, Soft Candies, Classic Pizza, Risotto, Veal Rolls, Meat-Filled Potato Roll, Potted Casserole, Mushy Peas, Sandwich Cake, Roast Salmon, Mashed Potato Stew, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Cabbage-and-Nut Salad, Open-Faced Sandwich, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Anmitsu, Croissant, Mutton Stew, Cod Dip, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange","Crisp Bread, Deep-Fried Carp, Seafood Medley with Garlic, Rosetta Bread, Blood Sausage, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Timerra,Courageous,Audacious,Solm-Style,Chilled Vegetable Soup,Salt Pork,Kebabs,Meatballs and Beans,Veal Rolls,"Mutton and Cabbage Stew, Crispy Roasted Pork Belly, Braised Lamb Shank, Fruit Pie, Braised Beef in Grape Sauce, Meat Dango in Cream Sauce, Jam Cake, Traveler's Egg, Chicken Tomato Curry, Haggis, Meat Pie, Bean and Veggie Consommé, Minced-Meat Dumplings, White Sausage, Salted-Meat Stew, Apple Pie, Onion Quiche, Chilled Vegetable Soup, Prosciutto, Kebabs, Meatballs and Beans, Veal Rolls, Salt Pork, Blood Sausage, Meat-Filled Potato Roll, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Apple Pudding Pie, Sautéed Apples with Bacon, Berry Jelly, Anmitsu, Mutton Stew, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Crisp Bread, Crêpe Pancakes, Dome Bread, Tiramisu, Churros, Rosetta Bread, Cinnamon Roll, Open-Faced Sandwich, Puffy Pancakes, Peasant Bread, Croissant, Chili Salad, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew",
